,original_release_date,runtime_x,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,adult,budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,runtime_y,status,title,vote_average,vote_count,drama
404,2015-10-16,118.0,Certified-Fresh,93.0,312.0,Upright,93.0,49668.0,55,False,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",264644,tt3170832,en,Room,12.443291,2015-10-16,117.0,Released,room,8.1,2838.0,True
405,2017-06-16,96.0,Rotten,44.0,169.0,Spilled,29.0,12563.0,36,False,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",397422,tt4799050,en,Rough Night,24.317924,2017-06-15,101.0,Released,rough night,5.6,336.0,True
406,2015-03-13,114.0,Rotten,59.0,184.0,Spilled,56.0,21082.0,37,False,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",241554,tt2199571,en,Run All Night,16.838145,2015-03-11,114.0,Released,run all night,6.3,1169.0,True
407,2013-10-04,91.0,Rotten,8.0,119.0,Spilled,33.0,43051.0,36,False,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",146238,tt2364841,en,Runner Runner,8.864607,2013-09-24,91.0,Released,runner runner,5.5,547.0,True
408,2012-06-08,84.0,Certified-Fresh,91.0,150.0,Upright,80.0,46913.0,39,False,750000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",84332,tt1862079,en,Safety Not Guaranteed,7.067494,2012-06-08,85.0,Released,safety not guaranteed,6.8,562.0,True
409,2007-05-18,97.0,Rotten,38.0,94.0,Spilled,38.0,12766.0,32,False,4600000,"[{'id': 18, 'name': 'Drama'}]",10822,tt0379976,en,Savage Grace,5.225054,2007-05-18,97.0,Released,savage grace,5.7,60.0,True
410,2012-07-06,130.0,Rotten,50.0,193.0,Spilled,54.0,136653.0,52,False,45000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",82525,tt1615065,en,Savages,13.248022,2012-07-06,131.0,Released,savages,6.2,784.0,True
411,,105.0,Fresh,76.0,21.0,Spilled,39.0,195.0,10,False,0,"[{'id': 18, 'name': 'Drama'}]",287623,tt2837296,en,Second Coming,1.046576,2014-09-02,105.0,Released,second coming,5.9,6.0,True
412,2010-10-08,123.0,Fresh,63.0,155.0,Upright,76.0,49966.0,39,False,35000000,"[{'id': 18, 'name': 'Drama'}]",39486,tt1028576,en,Secretariat,7.681383,2010-08-20,123.0,Released,secretariat,6.8,103.0,True
413,2012-06-22,101.0,Rotten,55.0,172.0,Spilled,53.0,91111.0,45,False,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",88005,tt1307068,en,Seeking a Friend for the End of the World,6.947533,2012-06-22,101.0,Released,seeking a friend for the end of the world,6.3,713.0,True
414,2014-12-25,128.0,Certified-Fresh,99.0,308.0,Upright,86.0,61482.0,61,False,20000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",273895,tt1020072,en,Selma,7.107071,2014-12-25,127.0,Released,selma,7.4,835.0,True
415,2011-07-06,79.0,Rotten,56.0,16.0,Spilled,43.0,188.0,8,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",54598,tt1763280,en,Septien,0.418174,2011-07-06,80.0,Released,septien,5.3,2.0,True
416,2015-03-27,109.0,Rotten,16.0,110.0,Spilled,23.0,13556.0,37,False,0,"[{'id': 18, 'name': 'Drama'}]",164251,tt1247690,en,Serena,7.381098,2014-10-12,102.0,Released,serena,5.3,299.0,True
417,2008-12-19,124.0,Rotten,26.0,194.0,Upright,75.0,636605.0,48,False,55000000,"[{'id': 18, 'name': 'Drama'}]",11321,tt0814314,en,Seven Pounds,21.708267,2008-12-18,123.0,Released,seven pounds,7.5,2092.0,True
418,2009-12-25,128.0,Fresh,69.0,245.0,Upright,77.0,769381.0,56,False,1000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",33555,tt1522835,en,Sherlock Holmes,2.719197,2010-01-26,89.0,Released,sherlock holmes,5.5,41.0,True
419,2016-12-21,108.0,Fresh,72.0,183.0,Upright,72.0,39492.0,35,False,75000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",335797,tt3470600,en,Sing,20.045673,2016-11-23,108.0,Released,sing,6.8,2363.0,True
420,2008-02-11,82.0,Fresh,100.0,32.0,Upright,85.0,2935.0,9,False,0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",20529,tt1172203,en,Sita Sings the Blues,1.711226,2008-02-11,82.0,Released,sita sings the blues,6.9,25.0,True
421,2016-04-15,103.0,Rotten,50.0,6.0,Spilled,48.0,311.0,3,False,0,"[{'id': 18, 'name': 'Drama'}]",333367,tt4106306,en,Sky,1.563618,2015-09-16,100.0,Released,sky,6.4,17.0,True
422,2008-01-22,101.0,Rotten,17.0,60.0,Spilled,43.0,42569.0,27,False,0,"[{'id': 18, 'name': 'Drama'}]",14349,tt0888693,en,Sleepwalking,11.823889,2008-01-14,101.0,Released,sleepwalking,6.4,26.0,True
